глагольная форма,перевод,абсолютив,эргатив,начальный согласный корня
сшвбгъИт1,вы чешете меня,глухой,глухой,звонкий
сшвбкъИт1,вы бьете меня,глухой,глухой,глухой
сибгъИт1,он чешет меня,глухой,гласный,звонкий
сибкъИт1,он бьет меня,глухой,гласный,глухой
сыгьйымбгъыт1,он не чесал меня,глухой,й,звонкий
сыгьйымбкъУзт1,он не бил меня,глухой,й,глухой
угьзымбгъЫт1,я не чесал вас,гласный,звонкий,звонкий
швыгьсымбкъАт1,я не бил вас,глухой,глухой,глухой
сгьжвымбгъЫт1,вы не чесали меня,глухой,"звонкий в 1\3, глухой",звонкий
сгьшвымбкъАт1,вы не били меня,глухой,глухой,глухой
дыг1бгъИт1,мы чешем его,звонкий,почти гласный,звонкий
дх1бкъИт1,мы бьем его,глухой,глухой,глухой
дыгьг1ымбгъЫт1,мы не чесали его,звонкий,скорее глухой,звонкий
дыгьх1ымбкъАт1,мы не били его,глухой,глухой,глухой
швсбкъит1,я бью вас,глухой,глухой,глухой
швсбгъИт1,я чешу вас,глухой,глухой,звонкий
