глагольная форма,перевод,абсолютив,эргатив,корень
йбЫжвит1,ты пьешь это,й ,глухой,доминантный
йыбжвит1,ты варишь это,й,звонкий,рецессивный
йх1Ыжвит1,мы пьем это,й,глухой,доминантный
йыг1жвИт1,мы варим это,й,звонкий (почти гласный),рецессивный
йсЫжвит1,я пью это,й,глухой,доминантный
йызжвИт1,я варю это,й,звонкий,рецессивный
йшвЫжвит1,вы пьете это,й,глухой,доминантный
йыжвжвит1,вы варите это,й,звонкий,рецессивный
йыгьсЫмыжвт1,я не пил это,й,глухой,доминантный
йыгьзымжвЫт1,я не варил это,й,звонкий,рецессивный
йыгьх1мыжвт1,мы не пили это,й,глухой,доминантный
йыгьх1ымжвыт1,мы не варили это,й,более звонкий,рецессивный
йыгьшвЫмыжвт1,вы не пили это,й,глухой,доминантный
йыгьжвымжвыт1,вы не варили это,й,звонкий,рецессивный
